date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-07-19,https://www.youtube.com/watch?v=bXCUobcx6Q8,343433,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,100832103/59688376/55749834/27018544/32537418/32152990/14453129/19451648/17853715/9332023/12652131/9803810/5043279/7176393/4730438/3025119/3946288/2791213,4560935/2562509/2659317/1367179/1486298/1193021/650236/761514/640209/390194/410664/366299/186372/229853/169867/108589/99650/88746,140/140/249/249/250/250/251/251,5559871/5559871/2062796/2093944/2553994/2575246/4846295/4875148,130712/130758/66503/66686/79828/79962/139620/140444
2024-07-19,https://www.youtube.com/watch?v=hv030s5fImU,444819,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,59525112/52732836/42136933/18238914/31022648/24513177/10924858/17144515/13262959/6689871/11305260/8491325/3560201/5012296/4273638/1748622/3489338/2443245,3356852/2947617/2175272/1009235/1867378/1294287/682955/972295/742263/464349/515029/442217/245138/243047/206032/110833/108650/91352,140/140/249/249/250/250/251/251,7200548/7200548/2711859/2753573/3366197/3532822/6152660/6424238,130673/130631/51884/52614/68642/69328/132325/134596
2024-07-19,https://www.youtube.com/watch?v=uUg3OY6kD6s,530299,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,125176486/74305994/70340631/34087378/37496413/39613195/18320558/22904045/21961056/11827241/15281720/12377092/6474428/8626830/6084544/3908138/5667462/4003526,4411440/2499308/2340046/1338464/1485713/1128018/691770/758605/602113/436269/409198/411499/211004/224268/181849/112888/102181/93789,140/140/249/249/250/250/251/251,8584254/8584254/3080128/3115048/3896536/3919634/7533540/7568799,130992/130976/51802/52019/67328/67520/132980/133384
2024-07-19,https://www.youtube.com/watch?v=f74_xA2uXKg,835125,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,106122090/97785012/74446925/28573985/36058330/40485775/14991555/22653423/21803660/9827759/15531412/12574478/5494019/8498530/6766376/3439752/7882287/4452976,2889492/2434672/1601880/758149/960775/928186/418824/589952/538979/280890/386061/339513/157509/216224/174559/99481/96579/71375,140/140/249/249/250/250/251/251,13517176/13517176/5050697/5121024/6229255/6555876/11212731/11774669,131078/130994/51088/51932/67227/70256/129859/135250
2024-07-19,https://www.youtube.com/watch?v=_bxa3-hyBRQ,657233,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,138630819/78640613/73410763/37573608/39466185/39981341/20169405/23907030/22351185/12923229/15838708/12838580/6728362/8894128/6677330/3924295/6539735/4547256,4344937/2567589/2949790/1647448/1485778/1264538/940107/760354/732112/574602/411202/396112/225726/226741/214912/107442/99978/104396,140/140/249/249/250/250/251/251,10638235/10638235/4046462/4058110/4955935/4979381/9322497/9353969,131030/131075/55740/58822/72906/75185/143104/142472
2024-07-19,https://www.youtube.com/watch?v=vqwCE2-j598,488362,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,143659900/66475436/77119515/44543775/37179769/22581224/17148992/13537952/8431372/7261884/3874570/3648945,4853807/1788963/2206151/1068836/1134448/636042/594740/359526/271023/214025/124544/105871,140/140/249/249/250/250/251/251,7905486/7905486/3019559/3029361/3831027/3840062/6967465/6982234,130635/130627/51166/51504/67636/67908/129300/129314
2024-07-19,https://www.youtube.com/watch?v=KF7a4eyvRwE,565233,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,128101753/74110979/73626167/37217786/39299789/40518780/20725077/23070516/22467898/13321080/15086299/12798518/6918730/8616904/6668614/3980918/5721456/4161518,4439853/2661160/3003098/1774189/1512704/1352333/1050120/758888/734565/572185/409853/393468/234363/227581/211685/101536/96793/93075,140/140/249/249/250/250/251/251,9149383/9149383/3156730/3296864/3923485/3980855/7397793/7479726,130804/130852/55969/57894/69255/73959/135384/137420
2024-07-19,https://www.youtube.com/watch?v=FJ_Up6era2Y,1087628,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,124984536/121991124/92113579/35035822/70931414/53086383/21506506/38970139/28281186/13467889/24691948/18158869/7248727/11183129/9237820/3597568/8500397/5263908,3344068/2944094/2166063/1009528/1866784/1292644/682196/970030/739573/463227/514372/439684/244750/242419/204782/110765/108553/91594,140/140/249/249/250/250/251/251,17603848/17603848/6686548/6710401/8215314/8574590/14792519/15367718,131298/131288/51328/51658/66910/69926/129374/130162
2024-07-19,https://www.youtube.com/watch?v=kd-5ARlP4Zo,445566,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,68568029/46910172/39472577/22348380/27756779/24566132/13026183/16120183/13435829/7922535/12061022/8747864/4292284/5132754/4410121/2097627/3340441/2570228,2478146/2346570/1646405/1030275/1299448/1028829/521245/841498/584970/353938/604237/374730/198573/238072/201720/99965/110989/95658,140/140/249/249/250/250/251/251,7212565/7212565/2637406/2743896/3395408/3485184/6409504/6475793,130808/130854/57384/57748/70976/71265/132358/133399
2024-07-19,https://www.youtube.com/watch?v=T21qVtw1JBc,887011,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,103364391/97939239/75713067/29910081/58032003/44093484/18369470/32382164/23594869/11456857/20611410/15265479/6184079/9452660/7782330/3059269/7079455/4469356,3340408/2947714/2134720/1009600/1860694/1291520/679732/943952/741433/461102/515016/445635/244828/242971/205756/110899/108789/91425,140/140/249/249/250/250/251/251,14357041/14357041/5464707/5485111/6698786/6958287/12094867/12513552,131001/130994/51324/51647/68132/70832/129691/133353
