date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-08-12,https://www.youtube.com/watch?v=SbHMasflAwM,754266,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,171298083/115082513/93184512/47219489/55850124/55846304/26486280/34570100/32431612/18045466/23541939/19285086/9836027/13689418/9786345/6243887/8590480/5888610,4373524/2503458/2281881/1309347/1494545/1224500/705940/762131/679973/440346/414225/362366/228395/225066/178039/130325/97438/91522,140/140/249/249/250/250/251/251,12208846/12208781/4877403/4869633/6232743/6231461/11736980/11735557,131001/130994/55961/55926/70560/70544/135083/135117
2024-08-12,https://www.youtube.com/watch?v=7HkkQ-YQMoA,638633,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,68282412/55358994/41593197/19580319/24069767/25153579/11158706/15244666/14853877/7736085/10697472/9221512/4391197/6114724/5053222/2772387/5624206/3709408,4241141/2489480/2316508/1138557/1275896/1111658/592781/715752/623045/379013/409984/398785/188398/223499/186777/105002/97068/82902,140/140/249/249/250/250/251/251,10337538/10337435/4032294/4031171/4880390/4879341/9337669/9335188,130889/130884/51668/51650/67592/67568/131124/131106
2024-08-12,https://www.youtube.com/watch?v=rQWIly1LSQ4,0,,,,,,,
2024-08-12,https://www.youtube.com/watch?v=Kco1vrWJeZ4,796166,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,91595463/69845079/61206948/26829332/31555098/36713553/15419015/20247498/21613827/10505688/14656077/13357681/5999375/8644957/7484249/3895267/7606787/5181314,1473397/1322832/1056019/483622/569830/633481/282010/373818/370995/195847/271147/240024/117197/166032/119402/96618/95230/75813,140/140/249/249/250/250/251/251,12887120/12887100/5032429/5027505/6020488/6019635/11596711/11596607,131268/131260/52025/51804/67636/67630/133744/133748
2024-08-12,https://www.youtube.com/watch?v=XsWraY4-Jiw,676066,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,89027948/61380667/40852325/20044047/23404895/24579508/10803617/15998938/14574110/7349520/10921342/9216259/4070819/6278202/5079243/2618652/6687179/4159314,1774067/1266039/850561/472583/497753/531642/260072/342875/320175/175532/233571/201940/95421/142795/111388/58163/97349/76205,140/140/249/249/250/250/251/251,10943013/10943013/4257075/4254608/4862980/4860502/9039565/9034469,130954/130957/51209/50986/62670/62493/121424/121356
2024-08-12,https://www.youtube.com/watch?v=TvyY_L4iJqU,645966,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,79330819/49625041/35059193/17420615/20240853/21457802/9395101/13419042/12785727/6393704/9526188/8114763/3626579/5520309/4615414/2409765/5496819/3564633,1586150/1364282/913333/403107/474220/572628/225646/304230/330010/155745/219856/195321/95252/133704/106522/66463/92723/72006,140/140/249/249/250/250/251/251,10455992/10455992/4061811/4057872/4762728/4765559/9280943/9286837,131099/131107/51374/51195/63957/63668/127205/127207
2024-08-12,https://www.youtube.com/watch?v=g5nSXFra8UM,312099,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,106934160/80229780/55806884/23905939/34226949/31056699/12838978/18554071/16339082/8396253/11126308/8827150/4370974/5887796/4045194/2394940/3503450/2353089,4544300/2551505/2679997/1412194/1504584/1250570/794827/763389/675152/522456/411259/360436/225327/225994/189164/106152/99248/93162,140/140/249/249/250/250/251/251,5053263/5053582/1882567/1870252/2357615/2356229/4521329/4519401,130639/130635/50889/50748/64939/64108/125686/126554
2024-08-12,https://www.youtube.com/watch?v=GNse50iLiao,0,,,,,,,
2024-08-12,https://www.youtube.com/watch?v=lK_0vPEP1fk,683033,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,76720774/57191644/50836627/22748977/26375372/30262980/12889010/17200750/18140167/9042006/12595743/11412077/5211600/7600459/6497473/3464479/6209329/4363364,1584862/1291967/1256410/439000/639015/766012/247285/403972/440705/171780/281645/259395/98725/164825/129732/65142/101757/73480,140/140/249/249/250/250/251/251,11056768/11056802/4281688/4279442/5135054/5134793/10033745/10032970,131033/131039/51828/51748/66397/66387/128384/128380
2024-08-12,https://www.youtube.com/watch?v=t96xmrla7gY,696733,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,81428461/61828192/52511106/23258934/27373178/31346604/13253935/17508517/18407002/9136654/12705432/11371794/5150855/7447102/6373505/3352791/6586133/4593077,1551186/1430760/1106104/461752/544133/684413/262296/428226/397840/182560/301122/245501/104624/170688/131770/68554/95692/76274,140/140/249/249/250/250/251/251,11277888/11277882/4396057/4394995/5548139/5547702/10804628/10804216,131159/131162/51950/51940/69428/69414/138876/138881
2024-08-12,https://www.youtube.com/watch?v=B6dyfx3en6I,299333,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,138748815/78156229/62781242/28386632/39006168/35492566/13292535/19303662/17579297/8835646/12227909/9543119/5063270/7084553/4495073/3307029/3554825/2537302,4726348/2639564/2956443/1366455/1502279/1255360/801059/756898/639753/567150/411442/374132/233405/223918/185450/133044/97215/85478,140/140/249/249/250/250/251/251,4846931/4846931/1872466/1873431/2272483/2273322/4496857/4499684,130763/130763/52605/51534/65966/66559/129772/129674
2024-08-12,https://www.youtube.com/watch?v=ea3SI8k0XRY,643999,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,98571648/68963191/52375264/26183467/31238115/31397213/14829496/19263157/17372260/10113103/12764707/10599837/5589914/7304215/5886152/3329388/5803822/4006256,4430683/2529888/2872914/1340266/1505148/1268010/760040/765056/710165/509309/411329/386864/223813/224826/198271/105399/97085/95925,140/140/249/249/250/250/251/251,10424737/10424714/3969855/3979394/4593420/4607231/8597324/8627234,130999/130978/51324/51164/63010/62863/126641/127542
2024-08-12,https://www.youtube.com/watch?v=H-PCWgbpT7E,641299,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,66925285/48651805/40776371/18773253/21994775/24994170/10898553/14003425/14919708/7547023/10289122/9379728/4267356/6013053/5299815/2730208/5746622/3962138,1541160/1329606/933181/451832/527283/596386/259957/333774/351006/181009/245431/219657/101776/147390/119074/67130/93150/74284,140/140/249/249/250/250/251/251,10380512/10380512/4037186/4036107/4650319/4650995/8768656/8769218,130987/130999/51091/51076/62664/62700/128442/133866
2024-08-12,https://www.youtube.com/watch?v=-lokPKyuA-E,774333,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,75176591/58693569/36489566/18214794/22724931/22826402/10244213/14815357/13811613/7181006/10584453/9015266/4223455/6322566/5414577/2860693/7117238/4458889,1229288/1019264/615634/333731/398232/382039/187165/253850/234037/125413/173626/151379/72924/104031/89753/46984/90531/69851,140/140/249/249/250/250/251/251,12533370/12533370/4827647/4824669/5268404/5284590/9959416/9997080,130903/130916/51298/50913/63654/63605/125921/125440
2024-08-12,https://www.youtube.com/watch?v=8zJDbugy6LY,705333,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,70988555/61090824/47124064/19538168/23212928/27423225/11212348/15056984/15978883/7910033/11033913/10017329/4564794/6482793/5721834/2941917/6610776/4427366,1971572/1529517/1315136/584696/667461/800866/333583/426816/468666/225831/298750/277699/132490/188285/148400/81234/96103/84562,140/140/249/249/250/250/251/251,11416891/11416891/4417975/4420785/5107324/5107991/9557111/9558699,131001/130999/55577/55755/67271/67463/125840/125791
2024-08-12,https://www.youtube.com/watch?v=Gi6xTQG24m4,641899,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,72352794/66122804/50680908/20744115/25912100/29145534/11765040/16081005/16800360/8273382/11683778/10495418/4641649/6830046/5834072/2973853/5709277/4092647,2656571/1930502/1233357/601973/1014181/828133/251164/441121/451666/183090/257318/230127/93507/143370/116639/60506/94925/75305,140/140/249/249/250/250/251/251,10391069/10391055/4047683/4046747/4749881/4749740/9275207/9274949,130847/130844/52916/52916/66992/66932/131520/131323
2024-08-12,https://www.youtube.com/watch?v=id2IQkYqNGc,646933,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,93717979/70582811/59829402/26873672/33021951/35551880/15209216/20771126/20329744/10339141/14362428/12197853/5802976/8310275/6534495/3785800/6263826/4345104,3847794/2522678/1660809/956736/1492968/1053950/518297/764133/587124/354171/415876/314544/189113/223562/172716/131639/97385/87365,140/249/250/251,10472515/4033687/4681999/9086130,130861/56917/70301/135700
2024-08-12,https://www.youtube.com/watch?v=Dirmo1XyxsQ,0,,,,,,,
2024-08-12,https://www.youtube.com/watch?v=FTUIig8tNY8,676599,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,62694063/52762912/40412338/18306014/22005772/24718087/10651053/14250677/15012514/7559060/10549349/9597758/4343315/6190912/5465497/2852101/5672782/4010668,1450496/1298517/830544/433476/528652/533717/252092/340688/329085/186822/258711/220901/101728/148876/113535/68369/86652/74389,140/140/249/249/250/250/251/251,10951650/10951650/4245018/4246224/4997400/4997652/9564283/9564671,130881/130872/51228/51250/63397/63399/126340/126328
2024-08-12,https://www.youtube.com/watch?v=FRCSbtQJmO8,767366,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,67971387/56147543/43698936/19287698/23594418/26606345/11276339/15466780/16138910/8053206/11521531/10406802/4737407/6862036/6009245/3188725/6730428/4642674,1559717/989699/1056185/461663/553910/632830/256880/400551/359301/178630/286925/229234/109949/171587/121674/92373/96924/74641,140/140/249/249/250/250/251/251,12420604/12420611/4794726/4795319/5673298/5671912/10660545/10659742,131090/131089/56681/56189/71997/72024/135031/135050
2024-08-12,https://www.youtube.com/watch?v=xk9VUiiOVoU,795033,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,91978669/68684860/59342306/26140546/31374329/35811725/14892010/20075745/20904892/10394896/14407829/12820385/5792973/8334935/7096221/3703528/7420774/5271022,3428258/2215352/1919116/1079470/1159210/1114165/600194/702874/615891/396463/404217/304327/220349/222523/154704/106664/97070/86141,140/140/249/249/250/250/251/251,12868565/12868565/4973127/4974309/5989564/5990195/11477376/11478120,130966/130974/52956/52912/66654/66576/127198/127215
2024-08-12,https://www.youtube.com/watch?v=t2cF-sOqk1Q,644733,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,75089579/62931294/48783214/21572382/25390409/29115014/12376814/16266558/17245026/8450309/11812290/10760832/4847113/7009702/5978886/3131039/6134988/4215133,1732336/1469959/1073125/489867/570204/636641/276351/364493/371203/189867/249166/230775/107384/152020/113897/71376/97434/74644,140/140/249/249/250/250/251/251,10436386/10436419/4024212/4022657/4870352/4869198/9510400/9509067,130930/130933/53600/53476/65253/65247/128436/128438
2024-08-12,https://www.youtube.com/watch?v=jkHYYjUDl_M,0,,,,,,,
2024-08-12,https://www.youtube.com/watch?v=wtjG4W9Ayw8,973899,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,103170332/90784956/68900837/29905698/34926728/40463227/17350961/22093909/23917034/12288628/16249317/15085736/6992474/9657347/8597446/4517000/9267310/6347183,2507644/1356653/1450942/767606/717350/853880/429324/466795/496865/295043/330091/304372/165507/201833/126316/99075/95963/80596,140/140/249/249/250/250/251/251,15763393/15763393/6121287/6121012/7176145/7175689/13666801/13666813,131338/131338/53399/53220/67699/67502/131156/131192
2024-08-12,https://www.youtube.com/watch?v=VjKamuEvlAo,727766,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,86480649/71937592/53228472/25170920/29760787/32987718/14595703/19029967/19731437/10195947/13832422/12353329/5714906/8145406/6821181/3686311/6729022/4793355,3374420/2509325/2081712/777914/1356528/1185736/439650/766621/639320/306962/409382/315565/163429/223350/131204/98122/95485/81053,140/140/249/249/250/250/251/251,11779874/11779874/4583765/4583447/5403480/5403617/10313085/10313152,130945/130946/52419/52398/70476/70499/134231/134261
2024-08-12,https://www.youtube.com/watch?v=SLH-reyGOtI,765533,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,98136861/75657162/63769265/28704182/33671984/37675238/16433684/21357829/22177626/11320821/15164668/13592907/6234713/8725339/7438175/3844374/7309392/5095077,4324274/2491418/2824325/1915968/1398445/1246458/1102258/758117/720650/593336/409616/400320/274221/222425/212010/124778/97701/96501,140/140/249/249/250/250/251/251,12390932/12390932/4804118/4803640/5803258/5804150/11071606/11072995,130946/130942/51527/51516/67631/67612/130826/130788
2024-08-12,https://www.youtube.com/watch?v=cgP6UhIJets,734133,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,83834969/68161665/51325102/23370428/27277301/30724530/13488312/17514610/18368822/9469618/12778057/11606688/5376090/7546838/6548005/3508043/6921317/4853785,4533360/2574598/1863141/1123621/1340213/1100073/599096/746897/620251/386302/406868/310080/209475/223825/149366/102263/96546/82466,140/140/249/249/250/250/251/251,11883258/11883258/4620592/4619802/5238061/5237908/9771579/9771313,131208/131209/60042/60427/77361/77812/148142/148580
