date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-07-14,https://www.youtube.com/watch?v=jSraSIAC5YM,837670,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,104240578/95982036/69911316/27785388/34787109/38214271/14454195/21527803/20496081/9481954/14743876/11744146/5290848/8037063/6335716/3316492/7799170/4413072,3362687/2428242/1639259/972576/1243985/1091039/539577/721150/585816/365016/403774/308227/201435/227961/174697/97574/100420/83889,140/140/249/249/250/250/251/251,13558483/13558483/5140304/5158991/6310489/6583889/11411596/11852329,130868/130868/51443/51748/65912/68896/130065/130076
2024-07-14,https://www.youtube.com/watch?v=fqPi52TPMR0,571399,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,125563818/72144089/71625849/32380750/35730623/41110372/17186855/21726511/22985203/10967053/14832174/13054600/6080024/8499404/6423328/3764061/6049794/4134449,3633192/2531790/2287337/1024519/1419959/1251840/575337/750290/675001/386584/410511/333010/217123/227294/167501/109478/97027/82301,140/140/249/249/250/250/251/251,9249387/9249387/3410400/3482108/4465266/4550090/8438349/8539640,130933/130986/55424/59014/71092/73494/137630/138274
2024-07-14,https://www.youtube.com/watch?v=PXeZ2xfeZ_w,832164,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,102511031/94265455/69181207/27420360/34722513/38048534/14202748/21445923/20375464/9315989/14625569/11651824/5200699/7952888/6262654/3233888/7588156/4391636,3322197/2427370/1791925/958167/1245349/1147956/537774/712154/665353/362589/403569/301317/200612/223866/179220/100038/97195/84733,140/140/249/249/250/250/251/251,13469485/13469485/5128501/5145575/6262714/6493290/11331918/11705229,131067/131071/51189/51357/65364/65731/130891/131006
2024-07-14,https://www.youtube.com/watch?v=AC3_w2WMatM,798233,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,182168317/110864996/104877136/47472746/55483460/58496015/25113664/33139403/32208749/16006216/22250775/17968182/8756586/12616320/9052011/5351386/8696742/5728004,4496682/2532482/2644034/1673046/1505522/1254412/834793/750312/680350/488969/411280/326125/213689/228210/178385/106221/97481/85678,140/140/249/249/250/250/251/251,12920387/12920387/4739450/4790387/5949656/6002731/11467718/11550697,131204/131200/66220/65905/85142/84688/159568/159113
2024-07-14,https://www.youtube.com/watch?v=qztpL2zzmGo,741615,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,87791565/83119428/63910674/25753301/49218587/37253080/15605741/27261675/19895578/9674278/17414966/12796027/5208992/7838411/6475407/2557390/5856511/3709794,3355452/2948115/2175788/1008630/1865266/1315071/682091/973090/738640/462678/515671/440817/245099/242591/204754/110673/106806/91785,140/140/249/249/250/250/251/251,12003916/12003916/4564285/4586122/5586350/5827268/10123560/10502159,130889/130863/51130/51351/65164/67774/130745/130819
2024-07-14,https://www.youtube.com/watch?v=94YupzWVnvQ,767833,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,240151030/146083871/134737033/68143201/77229461/72866594/37276110/45866997/40686059/24277607/28923608/22800445/12725798/16345474/11371331/7235835/8736192/6329097,4419325/2598315/2930680/1593034/1519420/1342930/914248/763021/736765/592813/412458/387162/232724/226472/208287/106535/97821/100496,140/140/249/249/250/250/251/251,12428484/12428484/4553624/4641117/5769344/5943359/10983525/11160543,130914/130915/56287/55894/72252/71641/137196/136935
2024-07-14,https://www.youtube.com/watch?v=nrj9Zy_nGJM,686060,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,84276701/78751056/61203786/24917283/46865820/35651258/15190870/25944324/19133847/9390856/16666915/12355574/5012813/7682546/6294059/2470251/5455191/3596841,3369765/2949511/2147068/1009614/1867809/1292426/690162/944914/737555/463892/514879/439960/244941/239965/206746/110849/108521/91680,140/140/249/249/250/250/251/251,11104978/11104978/4221441/4237739/5185974/5395319/9413929/9750182,130724/130724/51920/52280/67795/69164/130128/132488
2024-07-14,https://www.youtube.com/watch?v=NXWJ-57Pb1s,514266,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,123967201/76312905/70306695/33405557/37021194/39894610/17946537/22616800/22164768/11654217/15448732/12592480/6307363/8766327/6248768/3889995/5649214/3904196,3599800/2513360/2239688/1029048/1436581/1275392/576848/760610/678256/387576/410632/340030/214517/226709/168005/100489/100990/86190,140/140/249/249/250/250/251/251,8324538/8324538/3123060/3138512/3880672/3907077/7221439/7268128,130872/130870/56216/56896/72768/73511/138068/137968
2024-07-14,https://www.youtube.com/watch?v=FMn6ON2h0yE,1050233,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,227926971/132202674/136220466/62245478/68970158/78021093/33904796/42761513/43453859/22225407/29467686/24555710/12378569/17181034/12560987/7723600/11571184/7926784,3747894/2536221/2375850/1039954/1443403/1245586/577629/749445/675706/390632/410138/333259/216480/224514/167402/105998/97549/84322,140/140/249/249/250/250/251/251,16998538/16998538/6089195/6155728/7454257/7543323/13718644/13828943,131307/131319/56310/56410/74147/73690/143104/142281
2024-07-14,https://www.youtube.com/watch?v=Dp-gd4zoBZg,775232,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,93553456/87677234/69043534/27557639/52208959/40368048/16969768/29343488/21849168/10533460/19107896/14109873/5655937/8717253/7191414/2776204/6149376/4106318,3348294/2927938/2165583/1010414/1860339/1325658/679858/966953/751475/461831/519115/445892/244864/243982/205692/110891/109919/91734,140/140/249/249/250/250/251/251,12548016/12548016/4728989/4790802/5872775/6116629/10576579/10993377,131115/131055/51492/52237/68271/69399/132044/134064
2024-07-14,https://www.youtube.com/watch?v=lXwWElLgmzU,792082,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/136/247/135/244/134/243/133/242/160/278,230036761/108794494/124176001/74512641/58966107/37619629/26971678/22961791/13320994/12111507/6027032/5994050,4511054/2056322/2152610/1255276/1110242/652010/574861/379422/254092/228544/118427/110493,140/140/249/249/250/250/251/251,12820499/12820499/4888832/4905133/6132167/6150015/11054674/11085780,130829/130829/50960/51305/65999/66373/130885/130897
2024-07-14,https://www.youtube.com/watch?v=IDTh1LwsF3M,593466,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,110261494/65784307/61959687/30366020/33364408/35064207/16643793/20849615/19922391/10843456/14501702/11500653/6142709/8490416/6129110/3813959/6079760/4288874,3586336/2532420/2389502/1033698/1421976/1251423/575477/750939/683273/387932/411763/311126/213201/226769/165845/100475/97163/81717,140/140/249/249/250/250/251/251,9606363/9606363/3597415/3647660/4416987/4438123/8616447/8645332,130645/130637/54575/56280/71831/73584/137984/138661
2024-07-14,https://www.youtube.com/watch?v=2JV957UzN6Y,464797,1280x720/256x144/1920x1080/426x240/640x360/854x480,137/248/136/247/135/244/134/243/133/242/160/278,113963470/53561906/59509956/39550002/29918518/18700779/15743644/11239714/8259181/6585102/3869866/3256472,4447883/2002953/2210013/1266523/1134158/673547/617670/366906/274934/229639/124183/116616,140/140/249/249/250/250/251/251,7524102/7524102/2862492/2873368/3655678/3667778/6645351/6665601,130512/130512/52805/53108/69209/69209/135060/135052
